Prob(X),Number of Pairs,Confidence Level (alpha),Time
1.0,1,0.25,3
1.0,2,0.25,2
1.0,3,0.25,1
1.0,4,0.25,1
1.0,5,0.25,1
1.0,6,0.25,1
1.0,7,0.25,1
1.0,8,0.25,1
1.0,9,0.25,1
1.0,10,0.25,1
1.0,11,0.25,1
1.0,12,0.25,1
1.0,13,0.25,1
1.0,14,0.25,1
1.0,15,0.25,1
1.0,16,0.25,1
1.0,17,0.25,1
1.0,18,0.25,1
1.0,19,0.25,1
1.0,20,0.25,1
1.0,21,0.25,1
1.0,22,0.25,1
1.0,23,0.25,1
1.0,24,0.25,1
1.0,25,0.25,1
1.0,26,0.25,1
1.0,27,0.25,1
1.0,28,0.25,1
1.0,29,0.25,1
1.0,30,0.25,1
1.0,31,0.25,1
1.0,32,0.25,1
1.0,1,0.5,5
1.0,2,0.5,4
1.0,3,0.5,3
1.0,4,0.5,2
1.0,5,0.5,2
1.0,6,0.5,2
1.0,7,0.5,1
1.0,8,0.5,1
1.0,9,0.5,1
1.0,10,0.5,1
1.0,11,0.5,1
1.0,12,0.5,1
1.0,13,0.5,1
1.0,14,0.5,1
1.0,15,0.5,1
1.0,16,0.5,1
1.0,17,0.5,1
1.0,18,0.5,1
1.0,19,0.5,1
1.0,20,0.5,1
1.0,21,0.5,1
1.0,22,0.5,1
1.0,23,0.5,1
1.0,24,0.5,1
1.0,25,0.5,1
1.0,26,0.5,1
1.0,27,0.5,1
1.0,28,0.5,1
1.0,29,0.5,1
1.0,30,0.5,1
1.0,31,0.5,1
1.0,32,0.5,1
1.0,1,0.75,7
1.0,2,0.75,5
1.0,3,0.75,4
1.0,4,0.75,4
1.0,5,0.75,3
1.0,6,0.75,3
1.0,7,0.75,2
1.0,8,0.75,2
1.0,9,0.75,2
1.0,10,0.75,2
1.0,11,0.75,2
1.0,12,0.75,2
1.0,13,0.75,2
1.0,14,0.75,1
1.0,15,0.75,1
1.0,16,0.75,1
1.0,17,0.75,1
1.0,18,0.75,1
1.0,19,0.75,1
1.0,20,0.75,1
1.0,21,0.75,1
1.0,22,0.75,1
1.0,23,0.75,1
1.0,24,0.75,1
1.0,25,0.75,1
1.0,26,0.75,1
1.0,27,0.75,1
1.0,28,0.75,1
1.0,29,0.75,1
1.0,30,0.75,1
1.0,31,0.75,1
1.0,32,0.75,1
1.0,1,0.95,9
1.0,2,0.95,7
1.0,3,0.95,6
1.0,4,0.95,5
1.0,5,0.95,5
1.0,6,0.95,4
1.0,7,0.95,4
1.0,8,0.95,4
1.0,9,0.95,4
1.0,10,0.95,3
1.0,11,0.95,3
1.0,12,0.95,3
1.0,13,0.95,3
1.0,14,0.95,3
1.0,15,0.95,2
1.0,16,0.95,2
1.0,17,0.95,2
1.0,18,0.95,2
1.0,19,0.95,2
1.0,20,0.95,2
1.0,21,0.95,2
1.0,22,0.95,2
1.0,23,0.95,2
1.0,24,0.95,2
1.0,25,0.95,2
1.0,26,0.95,2
1.0,27,0.95,2
1.0,28,0.95,2
1.0,29,0.95,2
1.0,30,0.95,1
1.0,31,0.95,1
1.0,32,0.95,1
0.5,1,0.25,5
0.5,2,0.25,3
0.5,3,0.25,2
0.5,4,0.25,2
0.5,5,0.25,2
0.5,6,0.25,1
0.5,7,0.25,1
0.5,8,0.25,1
0.5,9,0.25,1
0.5,10,0.25,1
0.5,11,0.25,1
0.5,12,0.25,1
0.5,13,0.25,1
0.5,14,0.25,1
0.5,15,0.25,1
0.5,16,0.25,1
0.5,17,0.25,1
0.5,18,0.25,1
0.5,19,0.25,1
0.5,20,0.25,1
0.5,21,0.25,1
0.5,22,0.25,1
0.5,23,0.25,1
0.5,24,0.25,1
0.5,25,0.25,1
0.5,26,0.25,1
0.5,27,0.25,1
0.5,28,0.25,1
0.5,29,0.25,1
0.5,30,0.25,1
0.5,31,0.25,1
0.5,32,0.25,1
0.5,1,0.5,8
0.5,2,0.5,5
0.5,3,0.5,4
0.5,4,0.5,4
0.5,5,0.5,3
0.5,6,0.5,3
0.5,7,0.5,2
0.5,8,0.5,2
0.5,9,0.5,2
0.5,10,0.5,2
0.5,11,0.5,2
0.5,12,0.5,2
0.5,13,0.5,2
0.5,14,0.5,1
0.5,15,0.5,1
0.5,16,0.5,1
0.5,17,0.5,1
0.5,18,0.5,1
0.5,19,0.5,1
0.5,20,0.5,1
0.5,21,0.5,1
0.5,22,0.5,1
0.5,23,0.5,1
0.5,24,0.5,1
0.5,25,0.5,1
0.5,26,0.5,1
0.5,27,0.5,1
0.5,28,0.5,1
0.5,29,0.5,1
0.5,30,0.5,1
0.5,31,0.5,1
0.5,32,0.5,1
0.5,1,0.75,13
0.5,2,0.75,8
0.5,3,0.75,6
0.5,4,0.75,5
0.5,5,0.75,5
0.5,6,0.75,4
0.5,7,0.75,4
0.5,8,0.75,4
0.5,9,0.75,4
0.5,10,0.75,3
0.5,11,0.75,3
0.5,12,0.75,3
0.5,13,0.75,3
0.5,14,0.75,2
0.5,15,0.75,2
0.5,16,0.75,2
0.5,17,0.75,2
0.5,18,0.75,2
0.5,19,0.75,2
0.5,20,0.75,2
0.5,21,0.75,2
0.5,22,0.75,2
0.5,23,0.75,2
0.5,24,0.75,2
0.5,25,0.75,2
0.5,26,0.75,2
0.5,27,0.75,2
0.5,28,0.75,1
0.5,29,0.75,1
0.5,30,0.75,1
0.5,31,0.75,1
0.5,32,0.75,1
0.5,1,0.95,26
0.5,2,0.95,14
0.5,3,0.95,10
0.5,4,0.95,8
0.5,5,0.95,7
0.5,6,0.95,6
0.5,7,0.95,6
0.5,8,0.95,6
0.5,9,0.95,5
0.5,10,0.95,5
0.5,11,0.95,5
0.5,12,0.95,5
0.5,13,0.95,4
0.5,14,0.95,4
0.5,15,0.95,4
0.5,16,0.95,4
0.5,17,0.95,4
0.5,18,0.95,4
0.5,19,0.95,4
0.5,20,0.95,3
0.5,21,0.95,3
0.5,22,0.95,3
0.5,23,0.95,3
0.5,24,0.95,3
0.5,25,0.95,3
0.5,26,0.95,3
0.5,27,0.95,3
0.5,28,0.95,3
0.5,29,0.95,3
0.5,30,0.95,2
0.5,31,0.95,2
0.5,32,0.95,2
0.25,1,0.25,7
0.25,2,0.25,5
0.25,3,0.25,4
0.25,4,0.25,3
0.25,5,0.25,3
0.25,6,0.25,2
0.25,7,0.25,2
0.25,8,0.25,2
0.25,9,0.25,2
0.25,10,0.25,2
0.25,11,0.25,2
0.25,12,0.25,1
0.25,13,0.25,1
0.25,14,0.25,1
0.25,15,0.25,1
0.25,16,0.25,1
0.25,17,0.25,1
0.25,18,0.25,1
0.25,19,0.25,1
0.25,20,0.25,1
0.25,21,0.25,1
0.25,22,0.25,1
0.25,23,0.25,1
0.25,24,0.25,1
0.25,25,0.25,1
0.25,26,0.25,1
0.25,27,0.25,1
0.25,28,0.25,1
0.25,29,0.25,1
0.25,30,0.25,1
0.25,31,0.25,1
0.25,32,0.25,1
0.25,1,0.5,15
0.25,2,0.5,8
0.25,3,0.5,6
0.25,4,0.5,5
0.25,5,0.5,5
0.25,6,0.5,4
0.25,7,0.5,4
0.25,8,0.5,4
0.25,9,0.5,4
0.25,10,0.5,3
0.25,11,0.5,3
0.25,12,0.5,3
0.25,13,0.5,3
0.25,14,0.5,3
0.25,15,0.5,2
0.25,16,0.5,2
0.25,17,0.5,2
0.25,18,0.5,2
0.25,19,0.5,2
0.25,20,0.5,2
0.25,21,0.5,2
0.25,22,0.5,2
0.25,23,0.5,2
0.25,24,0.5,2
0.25,25,0.5,2
0.25,26,0.5,2
0.25,27,0.5,2
0.25,28,0.5,2
0.25,29,0.5,1
0.25,30,0.5,1
0.25,31,0.5,1
0.25,32,0.5,1
0.25,1,0.75,27
0.25,2,0.75,15
0.25,3,0.75,10
0.25,4,0.75,8
0.25,5,0.75,7
0.25,6,0.75,6
0.25,7,0.75,6
0.25,8,0.75,5
0.25,9,0.75,5
0.25,10,0.75,5
0.25,11,0.75,5
0.25,12,0.75,4
0.25,13,0.75,4
0.25,14,0.75,4
0.25,15,0.75,4
0.25,16,0.75,4
0.25,17,0.75,4
0.25,18,0.75,4
0.25,19,0.75,3
0.25,20,0.75,3
0.25,21,0.75,3
0.25,22,0.75,3
0.25,23,0.75,3
0.25,24,0.75,3
0.25,25,0.75,3
0.25,26,0.75,3
0.25,27,0.75,3
0.25,28,0.75,3
0.25,29,0.75,2
0.25,30,0.75,2
0.25,31,0.75,2
0.25,32,0.75,2
0.25,1,0.95,56
0.25,2,0.95,29
0.25,3,0.95,20
0.25,4,0.95,16
0.25,5,0.95,13
0.25,6,0.95,11
0.25,7,0.95,10
0.25,8,0.95,9
0.25,9,0.95,8
0.25,10,0.95,7
0.25,11,0.95,7
0.25,12,0.95,7
0.25,13,0.95,6
0.25,14,0.95,6
0.25,15,0.95,6
0.25,16,0.95,6
0.25,17,0.95,6
0.25,18,0.95,5
0.25,19,0.95,5
0.25,20,0.95,5
0.25,21,0.95,5
0.25,22,0.95,5
0.25,23,0.95,5
0.25,24,0.95,5
0.25,25,0.95,5
0.25,26,0.95,4
0.25,27,0.95,4
0.25,28,0.95,4
0.25,29,0.95,4
0.25,30,0.95,4
0.25,31,0.95,4
0.25,32,0.95,4
0.125,1,0.25,13
0.125,2,0.25,7
0.125,3,0.25,6
0.125,4,0.25,5
0.125,5,0.25,4
0.125,6,0.25,4
0.125,7,0.25,4
0.125,8,0.25,3
0.125,9,0.25,3
0.125,10,0.25,3
0.125,11,0.25,3
0.125,12,0.25,2
0.125,13,0.25,2
0.125,14,0.25,2
0.125,15,0.25,2
0.125,16,0.25,2
0.125,17,0.25,2
0.125,18,0.25,2
0.125,19,0.25,2
0.125,20,0.25,2
0.125,21,0.25,2
0.125,22,0.25,2
0.125,23,0.25,2
0.125,24,0.25,1
0.125,25,0.25,1
0.125,26,0.25,1
0.125,27,0.25,1
0.125,28,0.25,1
0.125,29,0.25,1
0.125,30,0.25,1
0.125,31,0.25,1
0.125,32,0.25,1
0.125,1,0.5,29
0.125,2,0.5,15
0.125,3,0.5,11
0.125,4,0.5,9
0.125,5,0.5,7
0.125,6,0.5,6
0.125,7,0.5,6
0.125,8,0.5,6
0.125,9,0.5,5
0.125,10,0.5,5
0.125,11,0.5,5
0.125,12,0.5,4
0.125,13,0.5,4
0.125,14,0.5,4
0.125,15,0.5,4
0.125,16,0.5,4
0.125,17,0.5,4
0.125,18,0.5,4
0.125,19,0.5,3
0.125,20,0.5,3
0.125,21,0.5,3
0.125,22,0.5,3
0.125,23,0.5,3
0.125,24,0.5,3
0.125,25,0.5,3
0.125,26,0.5,3
0.125,27,0.5,3
0.125,28,0.5,3
0.125,29,0.5,2
0.125,30,0.5,2
0.125,31,0.5,2
0.125,32,0.5,2
0.125,1,0.75,55
0.125,2,0.75,29
0.125,3,0.75,20
0.125,4,0.75,15
0.125,5,0.75,13
0.125,6,0.75,11
0.125,7,0.75,10
0.125,8,0.75,9
0.125,9,0.75,8
0.125,10,0.75,7
0.125,11,0.75,7
0.125,12,0.75,6
0.125,13,0.75,6
0.125,14,0.75,6
0.125,15,0.75,6
0.125,16,0.75,6
0.125,17,0.75,5
0.125,18,0.75,5
0.125,19,0.75,5
0.125,20,0.75,5
0.125,21,0.75,5
0.125,22,0.75,5
0.125,23,0.75,5
0.125,24,0.75,4
0.125,25,0.75,4
0.125,26,0.75,4
0.125,27,0.75,4
0.125,28,0.75,4
0.125,29,0.75,4
0.125,30,0.75,4
0.125,31,0.75,4
0.125,32,0.75,4
0.125,1,0.95,117
0.125,2,0.95,59
0.125,3,0.95,40
0.125,4,0.95,31
0.125,5,0.95,25
0.125,6,0.95,21
0.125,7,0.95,18
0.125,8,0.95,16
0.125,9,0.95,15
0.125,10,0.95,13
0.125,11,0.95,12
0.125,12,0.95,12
0.125,13,0.95,11
0.125,14,0.95,10
0.125,15,0.95,10
0.125,16,0.95,9
0.125,17,0.95,9
0.125,18,0.95,8
0.125,19,0.95,8
0.125,20,0.95,8
0.125,21,0.95,7
0.125,22,0.95,7
0.125,23,0.95,7
0.125,24,0.95,7
0.125,25,0.95,7
0.125,26,0.95,6
0.125,27,0.95,6
0.125,28,0.95,6
0.125,29,0.95,6
0.125,30,0.95,6
0.125,31,0.95,6
0.125,32,0.95,6
0.0625,1,0.25,25
0.0625,2,0.25,13
0.0625,3,0.25,9
0.0625,4,0.25,8
0.0625,5,0.25,7
0.0625,6,0.25,6
0.0625,7,0.25,5
0.0625,8,0.25,5
0.0625,9,0.25,5
0.0625,10,0.25,4
0.0625,11,0.25,4
0.0625,12,0.25,4
0.0625,13,0.25,4
0.0625,14,0.25,4
0.0625,15,0.25,4
0.0625,16,0.25,3
0.0625,17,0.25,3
0.0625,18,0.25,3
0.0625,19,0.25,3
0.0625,20,0.25,3
0.0625,21,0.25,3
0.0625,22,0.25,3
0.0625,23,0.25,3
0.0625,24,0.25,2
0.0625,25,0.25,2
0.0625,26,0.25,2
0.0625,27,0.25,2
0.0625,28,0.25,2
0.0625,29,0.25,2
0.0625,30,0.25,2
0.0625,31,0.25,2
0.0625,32,0.25,2
0.0625,1,0.5,56
0.0625,2,0.5,29
0.0625,3,0.5,20
0.0625,4,0.5,16
0.0625,5,0.5,13
0.0625,6,0.5,11
0.0625,7,0.5,10
0.0625,8,0.5,9
0.0625,9,0.5,8
0.0625,10,0.5,7
0.0625,11,0.5,7
0.0625,12,0.5,7
0.0625,13,0.5,6
0.0625,14,0.5,6
0.0625,15,0.5,6
0.0625,16,0.5,6
0.0625,17,0.5,5
0.0625,18,0.5,5
0.0625,19,0.5,5
0.0625,20,0.5,5
0.0625,21,0.5,5
0.0625,22,0.5,5
0.0625,23,0.5,5
0.0625,24,0.5,5
0.0625,25,0.5,4
0.0625,26,0.5,4
0.0625,27,0.5,4
0.0625,28,0.5,4
0.0625,29,0.5,4
0.0625,30,0.5,4
0.0625,31,0.5,4
0.0625,32,0.5,4
0.0625,1,0.75,111
0.0625,2,0.75,56
0.0625,3,0.75,38
0.0625,4,0.75,29
0.0625,5,0.75,24
0.0625,6,0.75,20
0.0625,7,0.75,18
0.0625,8,0.75,16
0.0625,9,0.75,14
0.0625,10,0.75,13
0.0625,11,0.75,12
0.0625,12,0.75,11
0.0625,13,0.75,10
0.0625,14,0.75,10
0.0625,15,0.75,9
0.0625,16,0.75,9
0.0625,17,0.75,8
0.0625,18,0.75,8
0.0625,19,0.75,8
0.0625,20,0.75,7
0.0625,21,0.75,7
0.0625,22,0.75,7
0.0625,23,0.75,7
0.0625,24,0.75,7
0.0625,25,0.75,6
0.0625,26,0.75,6
0.0625,27,0.75,6
0.0625,28,0.75,6
0.0625,29,0.75,6
0.0625,30,0.75,6
0.0625,31,0.75,6
0.0625,32,0.75,6
0.0625,1,0.95,237
0.0625,2,0.95,120
0.0625,3,0.95,80
0.0625,4,0.95,61
0.0625,5,0.95,49
0.0625,6,0.95,41
0.0625,7,0.95,36
0.0625,8,0.95,31
0.0625,9,0.95,28
0.0625,10,0.95,26
0.0625,11,0.95,23
0.0625,12,0.95,22
0.0625,13,0.95,20
0.0625,14,0.95,19
0.0625,15,0.95,18
0.0625,16,0.95,17
0.0625,17,0.95,16
0.0625,18,0.95,15
0.0625,19,0.95,14
0.0625,20,0.95,14
0.0625,21,0.95,13
0.0625,22,0.95,13
0.0625,23,0.95,12
0.0625,24,0.95,12
0.0625,25,0.95,11
0.0625,26,0.95,11
0.0625,27,0.95,11
0.0625,28,0.95,10
0.0625,29,0.95,10
0.0625,30,0.95,10
0.0625,31,0.95,10
0.0625,32,0.95,9
0.03125,1,0.25,48
0.03125,2,0.25,25
0.03125,3,0.25,17
0.03125,4,0.25,13
0.03125,5,0.25,11
0.03125,6,0.25,10
0.03125,7,0.25,8
0.03125,8,0.25,8
0.03125,9,0.25,7
0.03125,10,0.25,7
0.03125,11,0.25,6
0.03125,12,0.25,6
0.03125,13,0.25,6
0.03125,14,0.25,5
0.03125,15,0.25,5
0.03125,16,0.25,5
0.03125,17,0.25,5
0.03125,18,0.25,5
0.03125,19,0.25,5
0.03125,20,0.25,5
0.03125,21,0.25,4
0.03125,22,0.25,4
0.03125,23,0.25,4
0.03125,24,0.25,4
0.03125,25,0.25,4
0.03125,26,0.25,4
0.03125,27,0.25,4
0.03125,28,0.25,4
0.03125,29,0.25,4
0.03125,30,0.25,4
0.03125,31,0.25,4
0.03125,32,0.25,3
0.03125,1,0.5,112
0.03125,2,0.5,57
0.03125,3,0.5,39
0.03125,4,0.5,30
0.03125,5,0.5,24
0.03125,6,0.5,20
0.03125,7,0.5,18
0.03125,8,0.5,16
0.03125,9,0.5,14
0.03125,10,0.5,13
0.03125,11,0.5,12
0.03125,12,0.5,11
0.03125,13,0.5,10
0.03125,14,0.5,10
0.03125,15,0.5,9
0.03125,16,0.5,9
0.03125,17,0.5,8
0.03125,18,0.5,8
0.03125,19,0.5,8
0.03125,20,0.5,7
0.03125,21,0.5,7
0.03125,22,0.5,7
0.03125,23,0.5,7
0.03125,24,0.5,7
0.03125,25,0.5,6
0.03125,26,0.5,6
0.03125,27,0.5,6
0.03125,28,0.5,6
0.03125,29,0.5,6
0.03125,30,0.5,6
0.03125,31,0.5,6
0.03125,32,0.5,6
0.03125,1,0.75,222
0.03125,2,0.75,112
0.03125,3,0.75,75
0.03125,4,0.75,57
0.03125,5,0.75,46
0.03125,6,0.75,39
0.03125,7,0.75,33
0.03125,8,0.75,30
0.03125,9,0.75,26
0.03125,10,0.75,24
0.03125,11,0.75,22
0.03125,12,0.75,20
0.03125,13,0.75,19
0.03125,14,0.75,18
0.03125,15,0.75,17
0.03125,16,0.75,16
0.03125,17,0.75,15
0.03125,18,0.75,14
0.03125,19,0.75,14
0.03125,20,0.75,13
0.03125,21,0.75,12
0.03125,22,0.75,12
0.03125,23,0.75,12
0.03125,24,0.75,11
0.03125,25,0.75,11
0.03125,26,0.75,10
0.03125,27,0.75,10
0.03125,28,0.75,10
0.03125,29,0.75,10
0.03125,30,0.75,9
0.03125,31,0.75,9
0.03125,32,0.75,9
0.03125,1,0.95,478
0.03125,2,0.95,240
0.03125,3,0.95,161
0.03125,4,0.95,121
0.03125,5,0.95,97
0.03125,6,0.95,81
0.03125,7,0.95,70
0.03125,8,0.95,62
0.03125,9,0.95,55
0.03125,10,0.95,50
0.03125,11,0.95,45
0.03125,12,0.95,42
0.03125,13,0.95,39
0.03125,14,0.95,36
0.03125,15,0.95,34
0.03125,16,0.95,32
0.03125,17,0.95,30
0.03125,18,0.95,28
0.03125,19,0.95,27
0.03125,20,0.95,26
0.03125,21,0.95,25
0.03125,22,0.95,24
0.03125,23,0.95,23
0.03125,24,0.95,22
0.03125,25,0.95,21
0.03125,26,0.95,20
0.03125,27,0.95,20
0.03125,28,0.95,19
0.03125,29,0.95,18
0.03125,30,0.95,18
0.03125,31,0.95,17
0.03125,32,0.95,17
0.015625,1,0.25,94
0.015625,2,0.25,48
0.015625,3,0.25,33
0.015625,4,0.25,25
0.015625,5,0.25,20
0.015625,6,0.25,17
0.015625,7,0.25,15
0.015625,8,0.25,13
0.015625,9,0.25,12
0.015625,10,0.25,11
0.015625,11,0.25,10
0.015625,12,0.25,10
0.015625,13,0.25,9
0.015625,14,0.25,8
0.015625,15,0.25,8
0.015625,16,0.25,8
0.015625,17,0.25,7
0.015625,18,0.25,7
0.015625,19,0.25,7
0.015625,20,0.25,7
0.015625,21,0.25,6
0.015625,22,0.25,6
0.015625,23,0.25,6
0.015625,24,0.25,6
0.015625,25,0.25,6
0.015625,26,0.25,6
0.015625,27,0.25,6
0.015625,28,0.25,5
0.015625,29,0.25,5
0.015625,30,0.25,5
0.015625,31,0.25,5
0.015625,32,0.25,5
0.015625,1,0.5,224
0.015625,2,0.5,113
0.015625,3,0.5,76
0.015625,4,0.5,57
0.015625,5,0.5,46
0.015625,6,0.5,39
0.015625,7,0.5,34
0.015625,8,0.5,30
0.015625,9,0.5,27
0.015625,10,0.5,24
0.015625,11,0.5,22
0.015625,12,0.5,20
0.015625,13,0.5,19
0.015625,14,0.5,18
0.015625,15,0.5,17
0.015625,16,0.5,16
0.015625,17,0.5,15
0.015625,18,0.5,14
0.015625,19,0.5,14
0.015625,20,0.5,13
0.015625,21,0.5,13
0.015625,22,0.5,12
0.015625,23,0.5,12
0.015625,24,0.5,11
0.015625,25,0.5,11
0.015625,26,0.5,10
0.015625,27,0.5,10
0.015625,28,0.5,10
0.015625,29,0.5,10
0.015625,30,0.5,9
0.015625,31,0.5,9
0.015625,32,0.5,9
0.015625,1,0.75,446
0.015625,2,0.75,224
0.015625,3,0.75,150
0.015625,4,0.75,113
0.015625,5,0.75,91
0.015625,6,0.75,76
0.015625,7,0.75,65
0.015625,8,0.75,57
0.015625,9,0.75,51
0.015625,10,0.75,46
0.015625,11,0.75,42
0.015625,12,0.75,39
0.015625,13,0.75,36
0.015625,14,0.75,34
0.015625,15,0.75,32
0.015625,16,0.75,30
0.015625,17,0.75,28
0.015625,18,0.75,27
0.015625,19,0.75,25
0.015625,20,0.75,24
0.015625,21,0.75,23
0.015625,22,0.75,22
0.015625,23,0.75,21
0.015625,24,0.75,20
0.015625,25,0.75,20
0.015625,26,0.75,19
0.015625,27,0.75,18
0.015625,28,0.75,18
0.015625,29,0.75,17
0.015625,30,0.75,17
0.015625,31,0.75,16
0.015625,32,0.75,16
0.015625,1,0.95,961
0.015625,2,0.95,481
0.015625,3,0.95,322
0.015625,4,0.95,242
0.015625,5,0.95,194
0.015625,6,0.95,162
0.015625,7,0.95,139
0.015625,8,0.95,122
0.015625,9,0.95,108
0.015625,10,0.95,98
0.015625,11,0.95,89
0.015625,12,0.95,82
0.015625,13,0.95,76
0.015625,14,0.95,70
0.015625,15,0.95,66
0.015625,16,0.95,62
0.015625,17,0.95,58
0.015625,18,0.95,55
0.015625,19,0.95,52
0.015625,20,0.95,50
0.015625,21,0.95,48
0.015625,22,0.95,46
0.015625,23,0.95,44
0.015625,24,0.95,42
0.015625,25,0.95,40
0.015625,26,0.95,39
0.015625,27,0.95,37
0.015625,28,0.95,36
0.015625,29,0.95,35
0.015625,30,0.95,34
0.015625,31,0.95,33
0.015625,32,0.95,32
0.0078125,1,0.25,187
0.0078125,2,0.25,94
0.0078125,3,0.25,64
0.0078125,4,0.25,48
0.0078125,5,0.25,39
0.0078125,6,0.25,33
0.0078125,7,0.25,28
0.0078125,8,0.25,25
0.0078125,9,0.25,22
0.0078125,10,0.25,20
0.0078125,11,0.25,19
0.0078125,12,0.25,17
0.0078125,13,0.25,16
0.0078125,14,0.25,15
0.0078125,15,0.25,14
0.0078125,16,0.25,13
0.0078125,17,0.25,13
0.0078125,18,0.25,12
0.0078125,19,0.25,12
0.0078125,20,0.25,11
0.0078125,21,0.25,11
0.0078125,22,0.25,10
0.0078125,23,0.25,10
0.0078125,24,0.25,10
0.0078125,25,0.25,9
0.0078125,26,0.25,9
0.0078125,27,0.25,9
0.0078125,28,0.25,8
0.0078125,29,0.25,8
0.0078125,30,0.25,8
0.0078125,31,0.25,8
0.0078125,32,0.25,8
0.0078125,1,0.5,447
0.0078125,2,0.5,224
0.0078125,3,0.5,150
0.0078125,4,0.5,113
0.0078125,5,0.5,91
0.0078125,6,0.5,76
0.0078125,7,0.5,66
0.0078125,8,0.5,58
0.0078125,9,0.5,51
0.0078125,10,0.5,46
0.0078125,11,0.5,42
0.0078125,12,0.5,39
0.0078125,13,0.5,36
0.0078125,14,0.5,34
0.0078125,15,0.5,32
0.0078125,16,0.5,30
0.0078125,17,0.5,28
0.0078125,18,0.5,27
0.0078125,19,0.5,25
0.0078125,20,0.5,24
0.0078125,21,0.5,23
0.0078125,22,0.5,22
0.0078125,23,0.5,21
0.0078125,24,0.5,20
0.0078125,25,0.5,20
0.0078125,26,0.5,19
0.0078125,27,0.5,18
0.0078125,28,0.5,18
0.0078125,29,0.5,17
0.0078125,30,0.5,17
0.0078125,31,0.5,16
0.0078125,32,0.5,16
0.0078125,1,0.75,892
0.0078125,2,0.75,447
0.0078125,3,0.75,299
0.0078125,4,0.75,224
0.0078125,5,0.75,180
0.0078125,6,0.75,150
0.0078125,7,0.75,129
0.0078125,8,0.75,113
0.0078125,9,0.75,101
0.0078125,10,0.75,91
0.0078125,11,0.75,83
0.0078125,12,0.75,76
0.0078125,13,0.75,70
0.0078125,14,0.75,66
0.0078125,15,0.75,61
0.0078125,16,0.75,58
0.0078125,17,0.75,54
0.0078125,18,0.75,51
0.0078125,19,0.75,49
0.0078125,20,0.75,46
0.0078125,21,0.75,44
0.0078125,22,0.75,42
0.0078125,23,0.75,41
0.0078125,24,0.75,39
0.0078125,25,0.75,38
0.0078125,26,0.75,36
0.0078125,27,0.75,35
0.0078125,28,0.75,34
0.0078125,29,0.75,33
0.0078125,30,0.75,32
0.0078125,31,0.75,31
0.0078125,32,0.75,30
0.0078125,1,0.95,>1000
0.0078125,2,0.95,964
0.0078125,3,0.95,643
0.0078125,4,0.95,483
0.0078125,5,0.95,387
0.0078125,6,0.95,323
0.0078125,7,0.95,277
0.0078125,8,0.95,242
0.0078125,9,0.95,216
0.0078125,10,0.95,194
0.0078125,11,0.95,177
0.0078125,12,0.95,162
0.0078125,13,0.95,150
0.0078125,14,0.95,139
0.0078125,15,0.95,130
0.0078125,16,0.95,122
0.0078125,17,0.95,115
0.0078125,18,0.95,109
0.0078125,19,0.95,103
0.0078125,20,0.95,98
0.0078125,21,0.95,94
0.0078125,22,0.95,89
0.0078125,23,0.95,86
0.0078125,24,0.95,82
0.0078125,25,0.95,79
0.0078125,26,0.95,76
0.0078125,27,0.95,73
0.0078125,28,0.95,71
0.0078125,29,0.95,68
0.0078125,30,0.95,66
0.0078125,31,0.95,64
0.0078125,32,0.95,62
0.00390625,1,0.25,372
0.00390625,2,0.25,187
0.00390625,3,0.25,125
0.00390625,4,0.25,94
0.00390625,5,0.25,76
0.00390625,6,0.25,64
0.00390625,7,0.25,55
0.00390625,8,0.25,48
0.00390625,9,0.25,43
0.00390625,10,0.25,39
0.00390625,11,0.25,36
0.00390625,12,0.25,33
0.00390625,13,0.25,30
0.00390625,14,0.25,28
0.00390625,15,0.25,27
0.00390625,16,0.25,25
0.00390625,17,0.25,24
0.00390625,18,0.25,22
0.00390625,19,0.25,21
0.00390625,20,0.25,20
0.00390625,21,0.25,20
0.00390625,22,0.25,19
0.00390625,23,0.25,18
0.00390625,24,0.25,17
