Day,P(x)=1.0,P(x)=0.5,P(x)=0.25,P(x)=0.125,P(x)=0.0625,P(x)=0.03125,P(x)=0.015625,P(x)=0.0078125,P(x)=0.00390625
1,0.0975,0.04875,0.024375,0.0121875,0.00609375,0.003046875,0.0015234375,0.00076171875,0.000380859375
2,0.08799375,0.046373437499999996,0.023780859374999998,0.01203896484375,0.0060566162109375,0.003037591552734375,0.0015211166381835937,0.0007611385345458984,0.0003807143211364746
3,0.07941435937500001,0.044112732421875,0.023201200927734377,0.011892239959716798,0.0060197087059021,0.003028336390972138,0.001518799312055111,0.0007605587610527874,0.00038056932251807305
4,0.13966745921874998,0.07596023665771483,0.03963467162582397,0.02024680327055931,0.01023277609865129,0.005143984424868785,0.002578923014397097,0.001291198178268489,0.0006460337536659909
5,0.16523027971523438,0.09350477650295105,0.0497067278203803,0.025622708669488736,0.013007648690212686,0.006553399861285006,0.0032891570004738397,0.0016477006947409098,0.0008246318886421097
6,0.1548698946087656,0.09435282855237465,0.051861537251395466,0.02716322628448934,0.013897651176443978,0.007028843236541784,0.0035345531660824843,0.0017723254322538444,0.0008874269281184553
7,0.12045436247348437,0.0826436246925562,0.047755591491807,0.025599300187334677,0.01324477987296473,0.006735556610025101,0.0033963080412884148,0.0017053163731059512,0.0008544525244993502
8,0.07898364625047047,0.06686070635573539,0.04161240031223238,0.023038402979933682,0.01210188118364761,0.006199772949542401,0.003137495203611574,0.0015782002004564274,0.0007914695730746067
9,0.043824308426915454,0.05349344735816378,0.03664516395756989,0.021083248352077023,0.011269986265114888,0.005822017465466837,0.002958391727984435,0.0014911206205522648,0.0007485514158434267
10,0.020519641556083015,0.044843105400147396,0.033902055244669854,0.020236763983784593,0.0109960308593101,0.005724735588039992,0.0029199793696588227,0.0014745101635816908,0.0007408999714888341
11,0.008050753116769444,0.03985996599661065,0.03270323019602765,0.0201210797831047,0.011081964141767613,0.005806688744243657,0.0029710950675976015,0.0015026526282955407,0.000755623636115868
12,0.0026186589438954373,0.036422449263985725,0.03188100204034777,0.020122408189280915,0.011213300051917863,0.005908744668734861,0.003031702989807305,0.0015354130981281601,0.0007726257605904937
13,0.0006961268359188705,0.03305964378211451,0.0307060438487965,0.01987187577859643,0.01120412378724884,0.005937546439097532,0.0030550226667656766,0.0015493756772527966,0.0007801919687294091
14,0.00014847796211887122,0.02938642643561992,0.02908983273473733,0.019344793531360586,0.011046453704959987,0.005890151206496453,0.003039841021659047,0.0015439980720988275,0.0007780671395428289
15,2.4817030811297053e-05,0.02567698431675244,0.02729986569421003,0.01870131635099508,0.010826438378403974,0.005811107905341889,0.003008797528747244,0.0015306909329330346,0.0007719792918235547
16,3.1526820623240344e-06,0.022304325386485083,0.02561233516486611,0.018096253326463436,0.010625141978039307,0.005741820414795536,0.002982808398638049,0.001519965592182759,0.0007671973638210622
17,2.923159879215278e-07,0.019447218379887117,0.02414379703237678,0.017589654732821192,0.010472533681301622,0.005697215964333842,0.002969319095097296,0.0015155398827806153,0.0007655790097904438
18,1.870822322697778e-08,0.017077451753979025,0.022865871125254813,0.017159871243612377,0.010355492495702223,0.005670121631785243,0.00296458671748817,0.001515502936158664,0.0007661589096704724
19,7.619703418487832e-10,0.015071995378750288,0.021696223773339362,0.01675813682491468,0.010247424418360638,0.005646661044515095,0.0029615262174912224,0.0015162753614441427,0.0007671381394161513
20,1.7363569682538742e-11,0.01331565551467416,0.020572366769480346,0.016350967529335653,0.010130838005643475,0.005617887016057638,0.0029556130636245645,0.0015155821827854434,0.0007673760433557295
21,1.7363569682538742e-11,0.011743184487746767,0.01947501449144967,0.015931798482847526,0.010003092443137946,0.005582631181446568,0.00294630114584741,0.0015131599638290244,0.0007667433271546999
22,1.7363569682538742e-11,0.010332153912237355,0.018414383990344587,0.015510876915391455,0.009870452552757921,0.0055442994546758256,0.0029353613687684668,0.0015099111811448173,0.0007656954963926942
23,1.7363569682538742e-11,0.009078188659169355,0.017406889352893334,0.015100480238949438,0.009739874481985981,0.005506554167212004,0.002924669444547655,0.0015067847269795924,0.0007647097502088134
24,1.7363569682538742e-11,0.00797586009622921,0.016460666776579844,0.014706509734579555,0.00961452387142873,0.005471005336098881,0.0029150348082221415,0.0015041862167073424,0.0007639891011584059
25,1.7363569682538742e-11,0.007012315285594847,0.015573586953927151,0.014328128602097034,0.00949379804772229,0.0054372783130746975,0.002906249302597196,0.0015020061366504646,0.0007634774117534784
26,1.7363569682538742e-11,0.006169780284980003,0.014738314258833886,0.013961545732133393,0.009375570485782062,0.005404229069475776,0.002897718696483028,0.0014999416485288483,0.0007630218175570152
27,1.7363569682538742e-11,0.005430405817383516,0.013947782782655483,0.013603604599321067,0.009258208040797699,0.00537100970502813,0.002889009805435841,0.0014977737588524873,0.0007625122162850108
28,1.7363569682538742e-11,0.004779341009011244,0.013197710657493887,0.013253168267679109,0.009141279336833712,0.005337424514300592,0.0028800287224937386,0.0014954564492812065,0.0007619258323995543
29,1.7363569682538742e-11,0.00420523528684441,0.012486260801981642,0.012910613161827542,0.009025193614321895,0.005303719399861766,0.002870907643281492,0.0014930580711486016,0.0007612974038855889
30,1.7363569682538742e-11,0.0036992492101847463,0.011812544066895365,0.012576696049917218,0.008910523198461638,0.0052702136046365086,0.00286181314262029,0.0014906635597847244,0.0007606698051020161
31,1.7363569682538742e-11,0.0032538756755486086,0.011175433904168733,0.01225178056234216,0.00879757089117237,0.005237072061022056,0.002852829537145531,0.001488315416459129,0.0007600643633948691
32,1.7363569682538742e-11,0.0028622510578727787,0.010573207536909927,0.011935693814457053,0.008686315404584838,0.005204283599311404,0.002843949523423589,0.0014860094315514584,0.000759478824320313
33,1.7363569682538742e-11,0.002517990904852042,0.010003780925289547,0.011627974998194495,0.008576576631545273,0.005171754965228593,0.002835124179264974,0.001483720451924629,0.0007589004293440727
34,1.7363569682538742e-11,0.002215284862925495,0.00946508565614123,0.011328169284503673,0.008468191922649764,0.005139406680239663,0.0028263128722113133,0.0014814278356023594,0.000758318769010035
35,1.7363569682538742e-11,0.0019490002767386968,0.008955292670493976,0.01103597108328615,0.008361093286013954,0.005107212723338124,0.0028175033286571157,0.0014791255378221956,0.000757730838124764
36,1.7363569682538742e-11,0.001714687171059233,0.00847283179838129,0.010751209458530477,0.008255289673017762,0.005075188516025593,0.002808704765669786,0.0014768184526813334,0.0007571391493635695
37,1.7363569682538742e-11,0.0015084977109801178,0.008016300768305718,0.010473764925472659,0.008150812697463606,0.005043360241133472,0.002799931619879912,0.0014745140392918824,0.0007565474860673668
38,1.7363569682538742e-11,0.0013270776316702396,0.007584371767561549,0.010203501535435783,0.008047676406712735,0.005011743112236491,0.002791192275627429,0.0014722165840633625,0.0007559580079263507
39,1.7363569682538742e-11,0.0011674742268703525,0.007175748176789579,0.009940246256464417,0.007945867875047809,0.004980337057240114,0.0027824870275909887,0.0014699262154305667,0.0007553707671084555
40,1.7363569682538742e-11,0.0010270748718269327,0.006789167578356418,0.00968380349925815,0.007845358659040359,0.004949133671523303,0.0027738118886240473,0.0014676408938124337,0.0007547847251574746
41,1.7363569682538742e-11,0.0009035686392025079,0.006423422667067178,0.00943397820475386,0.007746119804505787,0.004918124658875552,0.0027651630546604764,0.0014653587064440395,0.0007541989161618089
42,1.7363569682538742e-11,0.0007949179656788649,0.006077376463841673,0.009190589478185183,0.007648129714251089,0.004887305987909065,0.0027565390337522455,0.001463078943960819,0.0007536129879784413
43,1.7363569682538742e-11,0.0006993317175578923,0.0057499640758318605,0.008953471525259568,0.0075513738082182555,0.00485667743256851,0.002747940333290491,0.001460801921888271,0.0007530271072741136
44,1.7363569682538742e-11,0.0006152373599647181,0.005440185195091268,0.008722467768129353,0.007455840313235171,0.004826240080583261,0.002739368109899916,0.0014585282785535578,0.0007524416016023765
45,1.7363569682538742e-11,0.0005412536869302136,0.005147094753646748,0.008497425021534248,0.007361516628459505,0.004795994310893801,0.0027308231052660986,0.0014562584296335295,0.0007518566833204483
46,1.7363569682538742e-11,0.00047616616180549753,0.004869796398633723,0.008278191056615838,0.007268388130100017,0.004765939210017327,0.002722305360534435,0.0014539924273101361,0.0007512723797086933
47,1.7363569682538742e-11,0.0004189058406398956,0.004607439457974386,0.008064615189098257,0.007176438893164235,0.004736073054788973,0.002713814491475919,0.001451730106767143,0.0007506886085073939
48,1.7363569682538742e-11,0.0003685316666586351,0.00435921778895579,0.007856549938941167,0.0070856529344698145,0.004706394040207367,0.0027053500804969186,0.0014494712894330812,0.0007501052813753069
49,1.7363569682538742e-11,0.0003242153657094521,0.004124368746967946,0.007653852179449203,0.006996014975633683,0.004676900696159682,0.0026969118932163227,0.0014472158932654837,0.0007495223595232205
50,1.7363569682538742e-11,0.0002852282122433318,0.0039021714493946012,0.007456383304494248,0.006907510514140255,0.004647591900493634,0.0026884998778193728,0.0014449639304519046,0.0007489398520477839
51,1.7363569682538742e-11,0.0002509292298160996,0.0036919444238589167,0.007264008761994104,0.006820125507724466,0.0046184666826458365,0.00268011405590705,0.0014427154499506206,0.0007483577864631445
52,1.7363569682538742e-11,0.00022075464821258794,0.0034930431067203603,0.007076597497526713,0.006733846052762269,0.0045895240395887864,0.0026717544241098875,0.0014404704866688072,0.0007477761828788023
53,1.7363569682538742e-11,0.00019420855293406425,0.00330485756362054,0.006894021627974311,0.006648658249037865,0.004560762867530291,0.002663420919827415,0.0014382290443437722,0.0007471950454489446
54,1.7363569682538742e-11,0.00017085466282385254,0.0031268105417213425,0.00671615636768348,0.0065645482357852575,0.004532181992089206,0.002655113439562292,0.001435991105578399,0.0007466143676150575
55,1.7363569682538742e-11,0.0001503091324833413,0.002958355772898368,0.006542880071084164,0.006481502289966767,0.004503780229660847,0.0026468318726760184,0.0014337566495148948,0.0007460341411458378
56,1.7363569682538742e-11,0.0001322342504648428,0.0027989764005495886,0.006374074258175334,0.006399506895826158,0.004475556427783253,0.002638576122723068,0.0014315256627830336,0.0007454543616811785
57,1.7363569682538742e-11,0.00011633290638375776,0.002648183451022613,0.006209623568944923,0.0063185487576540795,0.004447509470946129,0.002630346109823827,0.0014292981405282016,0.0007448750292038524
58,1.7363569682538742e-11,0.0001023437200680753,0.0025055143361947647,0.006049415663363479,0.006238614775541319,0.004419638265649929,0.0026221417621153293,0.0014270740818441386,0.0007442961456802889
59,1.7363569682538742e-11,9.003674868964921e-05,0.002370531409792995,0.005893341108260149,0.006159692015891154,0.004391941723974177,0.002613963006830065,0.0014248534851249875,0.000743717712688922
60,1.7363569682538742e-11,7.920970470149874e-05,0.0022428206015386956,0.00574129328013588,0.006081767695570463,0.004364418756161612,0.002605809766512892,0.0014226363461541985,0.0007431397304603135
61,1.7363569682538742e-11,6.968462714380277e-05,0.0021219901376478604,0.005593168289881162,0.0060048291809900855,0.004337068272098558,0.0025976819600717887,0.0014204226587104262,0.0007425621982008597
62,1.7363569682538742e-11,6.130495431718347e-05,0.0020076693416886653,0.005448864920554721,0.005928863993918948,0.004309889186329954,0.0025895795056234817,0.0014182124160741151,0.0007419851148680014
63,1.7363569682538742e-11,5.3932950053210464e-05,0.0018995075042514875,0.005308284567303972,0.005853859815988551,0.004282880421829075,0.0025815023225402743,0.001416005612087544,0.0007414084797087569
64,1.7363569682538742e-11,4.7447440407000326e-05,0.0017971728118882208,0.005171331173894192,0.005779804488689992,0.0042560409108731,0.002573450331873678,0.0014138022413556445,0.0007408322923575877
65,1.7363569682538742e-11,4.1741822649248234e-05,0.0017003513303078107,0.005037911166154949,0.005706686009967,0.004229369593927431,0.0025654234557114623,0.0014116022988966764,0.0007402565526537968
66,1.7363569682538742e-11,3.672231339535268e-05,0.0016087460400296622,0.004907933385308165,0.005634492529985897,0.004202865418174356,0.002557421616382805,0.0014094057797243518,0.0007396812604278044
67,1.7363569682538742e-11,3.230640708995781e-05,0.0015220759235381035,0.004781309023668358,0.005563212347861638,0.004176527336715796,0.002549444736062088,0.0014072126786458738,0.0007391064153988734
68,1.7363569682538742e-11,2.8421519710609554e-05,0.0014400751023072658,0.004657951563483844,0.005492833909676828,0.004150354308562473,0.0025414927368080822,0.0014050229902889029,0.000738532017190594
69,1.7363569682538742e-11,2.5003795569412985e-05,0.0013624920211514704,0.004537776718376669,0.005423345807197507,0.004124345298998829,0.0025335655407970428,0.0014028367092272188,0.0007379580653958713
70,1.7363569682538742e-11,2.1997057664996154e-05,0.0012890886769393482,0.0044207023764829545,0.005354736776603808,0.004098499279893132,0.002525663070515103,0.0014006538300811268,0.0007373845596280706
71,1.7363569682538742e-11,1.9351884314329962e-05,0.0012196398888432182,0.004306648544739713,0.0052869956968918655,0.004072815229770338,0.0025177852488128248,0.0013984743475447415,0.0007368114995348614
72,1.7363569682538742e-11,1.7024796843525962e-05,0.0011539326076898447,0.004195537294220012,0.005220111587989729,0.004047292133702652,0.0025099319988591,0.0013962982563608805,0.0007362388847845581
73,1.7363569682538742e-11,1.4977544954675384e-05,0.0010917652623353938,0.00408729270669262,0.005154073608792198,0.004021928983144805,0.002502103244071634,0.0013941255512838282,0.0007356667150472558
74,1.7363569682538742e-11,1.317647801390245e-05,0.0010329471411901965,0.003981840822573592,0.005088871055276242,0.003996724775820937,0.0024942989080753287,0.0013919562270590744,0.0007350949899843788
75,1.7363569682538742e-11,1.1591991932387804e-05,0.0009772978070937634,0.0038791095903345538,0.005024493358741857,0.003971678515678283,0.0024865189147011565,0.0013897902784231245,0.0007345237092488199
